Source,Target
SCP-682,SCP-2599
SCP-682,SCP-999
SCP-682,SCP-162
SCP-682,SCP-093
SCP-682,SCP-2746
SCP-682,SCP-2140
SCP-682,SCP-354
SCP-682,SCP-081
SCP-682,SCP-2337
SCP-682,SCP-079
SCP-682,SCP-1012
SCP-682,SCP-173
SCP-682,SCP-075
SCP-682,SCP-939
SCP-682,SCP-743
SCP-682,SCP-3519
SCP-682,SCP-055
SCP-682,SCP-169
SCP-682,SCP-049
SCP-682,SCP-101
SCP-682,SCP-2305
SCP-682,SCP-2400
SCP-682,SCP-4051
SCP-682,SCP-123
SCP-682,SCP-1437
SCP-682,SCP-914
SCP-682,SCP-811
SCP-682,SCP-048
SCP-682,SCP-738
SCP-682,SCP-689
SCP-682,SCP-096
SCP-682,SCP-2490
SCP-682,SCP-3309
SCP-682,SCP-294
SCP-682,SCP-063
SCP-682,SCP-4455
SCP-682,SCP-1237
SCP-682,SCP-2521
SCP-682,SCP-826
SCP-682,SCP-407
SCP-682,SCP-127
SCP-682,SCP-2855
SCP-682,SCP-536
SCP-682,SCP-426
SCP-682,SCP-073
SCP-682,SCP-217
SCP-682,SCP-507
SCP-682,SCP-343
SCP-682,SCP-3802
SCP-682,SCP-082
SCP-682,SCP-182
SCP-682,SCP-204
SCP-682,SCP-2922
SCP-682,SCP-3108
SCP-682,SCP-106
SCP-682,SCP-3922
SCP-682,SCP-3930
SCP-682,SCP-662
SCP-682,SCP-239
SCP-682,SCP-3000
SCP-682,SCP-963
SCP-682,SCP-1056
SCP-682,SCP-3008
SCP-682,SCP-2935
SCP-682,SCP-1915
SCP-682,SCP-409
SCP-682,SCP-2578
SCP-689,SCP-682
SCP-711,SCP-1780
SCP-715,SCP-2933
SCP-715,SCP-4390
SCP-715,SCP-4864
SCP-715,SCP-2090
SCP-715,SCP-3355
SCP-715,SCP-2120
SCP-715,SCP-4654
SCP-715,SCP-4911
SCP-715,SCP-2576
SCP-715,SCP-2598
SCP-715,SCP-4812
SCP-715,SCP-2398
SCP-715,SCP-4444
SCP-715,SCP-3785
SCP-715,SCP-2399
SCP-715,SCP-3812
SCP-732,SCP-105
SCP-732,SCP-076
SCP-783,SCP-3980
SCP-783,SCP-4910
SCP-783,SCP-2385
SCP-783,SCP-3935
SCP-783,SCP-3963
SCP-783,SCP-2923
SCP-783,SCP-3280
SCP-783,SCP-3246
SCP-783,SCP-1661
SCP-783,SCP-3247
SCP-783,SCP-2193
SCP-783,SCP-303
SCP-882,SCP-217
SCP-905,SCP-909
SCP-909,SCP-2933
SCP-909,SCP-527
SCP-909,SCP-3537
SCP-909,SCP-913
SCP-909,SCP-2855
SCP-909,SCP-1908
SCP-909,SCP-917
SCP-909,SCP-629
SCP-909,SCP-2287
SCP-909,SCP-644
SCP-909,SCP-1007
SCP-909,SCP-2396
SCP-909,SCP-920
SCP-909,SCP-1799
SCP-909,SCP-2284
SCP-909,SCP-2428
SCP-909,SCP-905
SCP-909,SCP-2148
SCP-913,SCP-909
SCP-914,SCP-447
SCP-914,SCP-1762
SCP-914,SCP-2852
SCP-914,SCP-029
SCP-914,SCP-143
SCP-914,SCP-1173
SCP-914,SCP-2337
SCP-914,SCP-079
SCP-914,SCP-993
SCP-914,SCP-939
SCP-914,SCP-049
SCP-914,SCP-1337
SCP-914,SCP-123
SCP-914,SCP-1437
SCP-914,SCP-085
SCP-914,SCP-1024
SCP-914,SCP-882
SCP-914,SCP-811
SCP-914,SCP-048
SCP-914,SCP-4498
SCP-914,SCP-033
SCP-914,SCP-096
SCP-914,SCP-3812
SCP-914,SCP-4335
SCP-914,SCP-294
SCP-914,SCP-458
SCP-914,SCP-105
SCP-914,SCP-261
SCP-914,SCP-1237
SCP-914,SCP-2521
SCP-914,SCP-427
SCP-914,SCP-718
SCP-914,SCP-073
SCP-914,SCP-1265
SCP-914,SCP-682
SCP-914,SCP-500
SCP-914,SCP-662
SCP-914,SCP-3930
SCP-914,SCP-3922
SCP-914,SCP-239
SCP-914,SCP-2317
SCP-914,SCP-3000
SCP-914,SCP-3034
SCP-914,SCP-2845
SCP-914,SCP-3199
SCP-914,SCP-3003
SCP-914,SCP-1427
SCP-914,SCP-038
SCP-914,SCP-953
SCP-914,SCP-3885
SCP-914,SCP-2599
SCP-914,SCP-999
SCP-914,SCP-3300
SCP-914,SCP-2140
SCP-914,SCP-871
SCP-914,SCP-173
SCP-914,SCP-055
SCP-914,SCP-148
SCP-914,SCP-4444
SCP-914,SCP-2305
SCP-914,SCP-4006
SCP-914,SCP-008
SCP-914,SCP-134
SCP-914,SCP-3999
SCP-914,SCP-3001
SCP-914,SCP-131
SCP-914,SCP-005
SCP-914,SCP-2649
SCP-914,SCP-1048
SCP-914,SCP-426
SCP-914,SCP-504
SCP-914,SCP-4661
SCP-914,SCP-1984
SCP-914,SCP-343
SCP-914,SCP-4669
SCP-914,SCP-3780
SCP-914,SCP-106
SCP-914,SCP-3008
SCP-914,SCP-2736
SCP-917,SCP-2933
SCP-917,SCP-909
SCP-917,SCP-527
SCP-917,SCP-3537
SCP-917,SCP-913
SCP-917,SCP-2855
SCP-917,SCP-1908
SCP-917,SCP-629
SCP-917,SCP-2287
SCP-917,SCP-644
SCP-917,SCP-1007
SCP-917,SCP-2396
SCP-917,SCP-920
SCP-917,SCP-1799
SCP-917,SCP-2284
SCP-917,SCP-2428
SCP-917,SCP-905
SCP-917,SCP-2148
SCP-920,SCP-909
SCP-939,SCP-008
SCP-939,SCP-500
SCP-939,SCP-447
SCP-939,SCP-426
SCP-939,SCP-914
SCP-939,SCP-999
SCP-939,SCP-055
SCP-939,SCP-005
SCP-939,SCP-1048
SCP-939,SCP-427
SCP-946,SCP-536
SCP-947,SCP-4670
SCP-947,SCP-4780
